x,y,dx,dy,k,Len,ANGLE,distance,vx,vy,V,A,ax,ay,MotionType,TimeSample,TimeEnd
0,0,3.02,5.01,1.65894039735099,5.8498290573315,180,5.00677428256071,0.78358152096639,1.29991503974888,1.51782051329046,0.193702948918262,0.1,0.1658940397351,1,0.0333333333333333,6.83581520966389
3.02,5.01,2.98,5.01,1.68120805369128,5.82927954382015,180,4.96561532055959,1.09189947696623,1.83571019449692,2.13590177348563,0.193702948918262,0.0990233498732053,0.166478853310322,1,0.0333333333333333,3.19087171179815
6,10.02,12.56,20.9,1.6640127388535,24.3836748665988,180,20.807196442673,1.92790492737549,3.20805835845125,3.74278717538516,0.193702948918262,0.0997761433304714,0.166028773535577,1,0.0333333333333333,8.29561661747132
18.56,30.92,11.04,18.38,1.66485507246377,21.4407555837009,180,18.2528002788613,2.4323429877934,4.04949856119952,4.72384705588832,0.193702948918262,0.0997390482676493,0.166051060431105,1,0.0333333333333333,5.0647648163433
29.6,49.3,12.2,20.4,1.67213114754098,23.7697286480094,34,20.3045038616969,1.85812089934648,3.10702183169412,3.62024832562797,0.193702948918262,0.0994195605594638,0.166242543886317,-2,0.0333333333333333,5.697377021999
41.8,69.7,1.1,-18.2,-16.5454545454545,18.2332114560217,140,-18.1042098032117,0.186674348839017,-3.08861195351828,3.09424806890631,0.096851474459131,0.00584299821027193,-0.0966750612972263,-1,0.0333333333333333,5.4309989564858
42.9,51.5,-1.1,-1.5,1.36363636363636,1.86010752377383,176,-1.43903562091087,1.89743781928574,2.58741520811692,3.20858033049673,0.193702948918262,0.114548885527757,0.156203025719669,1,0.0333333333333333,0.590245333015888
41.8,50,-1.59999999999999,-2.5,1.56250000000001,2.96816441593116,176,-2.49832183810176,1.82363324570019,2.84942694640655,3.38302706724773,0.193702948918262,0.104416290622496,0.16315045409765,1,0.0333333333333333,0.900588957087106
40.2,47.5,-2.2,-4,1.81818181818182,4.56508488420533,176,-3.99695891311081,1.75178711407068,3.18506748012851,3.63502585217716,0.193702948918262,0.0933490829698687,0.169725605399761,1,0.0333333333333333,1.30095481941149
38,43.5,-2.5,-5.4,2.16,5.95063021872473,176,-5.38362946013567,1.65502677656219,3.57485783737433,3.93938093976382,0.193702948918262,0.0813791740531703,0.175779015954848,1,0.0333333333333333,1.57124653644325
35.5,38.1,-2.3,-6,2.60869565217392,6.42572953056694,176,-5.98476484753658,1.51893501307353,3.96243916453966,4.24359372544291,0.193702948918262,0.0693332609772473,0.180869376462384,1,0.0333333333333333,1.57051189658171
33.2,32.1,-9.9,-32.1,3.24242424242424,33.5919633245811,107,-31.9934284986072,0.999474834460789,3.24072143294862,3.39134565485339,0.096851474459131,0.0285434223620913,0.0925498846285989,-1,0.0333333333333333,8.79953635552701
23.3,0,-23.3,0,-0,23.3,0,-0,4.53075962397962,-0,4.53075962397962,0.193702948918262,0.193702948918262,-0,1,0.0333333333333333,5.88227476912104
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
